,name,salary
100,数据分析工程师,职位薪资:15000-25000
101,百度大搜—高级产品经理（B2B）,职位薪资:15000-30000
102,推荐算法工程师,职位薪资:18000-35000
103,智能客服咨询顾问,职位薪资:20000-40000
104,百度云大规模PaaS平台研发,职位薪资:20000-30000
105,WEB前端研发/高级研发工程师,职位薪资:20000-30000
106,百度AI开放平台产品经理（自然语言处理方向）,职位薪资:20000-35000
107,后端研发工程师,职位薪资:20000-40000
108,内容理解实习岗位,职位薪资:6000-7000
109,智能客服策略工程师,职位薪资:20000-40000
110,百度云Serverless/FaaS平台研发工程师,职位薪资:15000-30000
111,产品经理实习生,职位薪资:3000-5000
112,C++软件研发工程师（实习）,职位薪资:2000-3000
113,机器学习/数据挖掘/高级工程师（信息流）,职位薪资:15000-30000
114,百度AI开放平台产品经理（智能对话）,职位薪资:20000-40000
115,产品研发工程师,职位薪资:20000-40000
116,产品经理实习生,职位薪资:4000-6000
117,PHP,职位薪资:15000-30000
118,项目管理专员,职位薪资:7000-12000
119,大客户销售/广告销售,职位薪资:8000-15000
120,百度推荐技术架构_ C++实习生,职位薪资:4000-6000
121,账户系统部_大数据开发工程师,职位薪资:10000-15000
122,DMP高级产品经理,职位薪资:20000-40000
123,AIG用户体验部_百度手机输入法运营设计师,职位薪资:25000-40000
124,高级Java开发工程师,职位薪资:20000-40000
125,PHP,职位薪资:15000-22000
126,Java高级研发工程师,职位薪资:21000-30000
127,AI创新业务部_智能问诊策略经理,职位薪资:30000-35000
128,实时计算工程师,职位薪资:15000-30000
129,百度智能云大规模PaaS平台研发工程师,职位薪资:30000-35000
130,AI创新业务部_影像数据工程师,职位薪资:15000-30000
131,Linux C++研发工程师,职位薪资:25000-40000
132,视频算法工程师,职位薪资:16000-30000
133,AI创新业务部_医学影像算法工程师,职位薪资:20000-21000
134,Hadoop开发工程师,职位薪资:30000-60000
135,iOS研发工程师,职位薪资:15000-30000
136,账户系统部_Android客户端研发工程师实习生,职位薪资:5000-10000
137,AI创新业务部_售前/解决方案顾问,职位薪资:20000-21000
138,高级产品经理,职位薪资:20000-40000
139,基础平台研发工程师,职位薪资:15000-20000
140,图像深度学习算法工程师,职位薪资:25000-40000
141,Web前端高级开发工程师,职位薪资:20000-40000
142,AI技术生态部_机器学习算法策略工程师,职位薪资:20000-35000
143,账户系统部_大数据开发工程师,职位薪资:10000-15000
144,医疗产品运营经理,职位薪资:30000-50000
145,智能客服呼叫中心产品经理,职位薪资:20000-40000
146,AI产品运营（自然语言处理方向）,职位薪资:22000-40000
147,C++软件开发工程师,职位薪资:20000-40000
148,凤巢商务搜索__机器学习/数据挖掘工程师,职位薪资:20000-35000
149,内容运营大学在校实习生,职位薪资:2000-3000
150,智能交通售前解决方案高级顾问,职位薪资:30000-60000
151,IDG合作发展部商业化咨询顾问,职位薪资:20000-40000
152,账户系统部_大数据分析工程师,职位薪资:10000-15000
153,上海JAVA研发工程师,职位薪资:20000-40000
154,Linux C++开发工程师,职位薪资:20000-30000
155,测试开发工程师,职位薪资:15000-30000
156,百度知道视频运营实习生,职位薪资:2000-4000
157,PHP开发实习生,职位薪资:10000-20000
158,感知算法工程师,职位薪资:35000-60000
159,内容审核-风控策略专员,职位薪资:5000-10000
160,IDG-资深研发工程师（超声波雷达方向）,职位薪资:40000-50000
161,大数据研发工程师,职位薪资:15000-30000
162,地图引擎开发工程师,职位薪资:15000-30000
163,高级产品经理,职位薪资:25000-40000
164,智能交通解决方案架构师,职位薪资:35000-60000
165,数据分析工程师,职位薪资:12000-18000
166,账户系统部_C/C++资深系统研发工程师,职位薪资:25000-50000
167,Canbus 控制方法C++,职位薪资:25000-35000
168,策略算法工程师,职位薪资:15000-30000
169,C++高级研发工程师,职位薪资:20000-40000
170,Q版原画师,职位薪资:10000-15000
171,存储研发工程师,职位薪资:30000-50000
172,富媒体业务部_高级产品经理（功能设计方向）,职位薪资:25000-35000
173,高级多媒体动效设计师,职位薪资:15000-30000
174,DMP高级产品经理,职位薪资:20000-40000
175,视觉设计实习生,职位薪资:3000-8000
176,审核平台产品经理,职位薪资:20000-28000
177,计算机视觉算法工程师,职位薪资:20000-40000
